# Log10 Power spectrum of v = nabla . ( B x nabla x B ) divided by k_A^(7+2*nB) * A_B^2 / (4 * pi)^2 
# nB | w | log10_ps 
-3.0	1.0000000000000001e-7	-6.15359420685249
-3.0	1.0376050197669118e-7	-6.131482804761076
-3.0	1.0766241770454933e-7	-6.109456813152594
-3.0	1.1171106505048242e-7	-6.087513052668265
-3.0	1.1591196185988857e-7	-6.065649576774816
-3.0	1.202708334768512e-7	-6.043865299340104
-3.0	1.2479362054713114e-7	-6.022159001259243
-3.0	1.294864871145905e-7	-6.00052954701238
-3.0	1.3435582902208263e-7	-5.9789685319094605
-3.0	1.3940828262825785e-7	-5.9574820730347975
-3.0	1.4465073385216472e-7	-5.936061102835566
-3.0	1.5009032755797365e-7	-5.91471401205261
-3.0	1.557344772926135e-7	-5.893425367039698
-3.0	1.615908753895919e-7	-5.872203625987844
-3.0	1.676675034527701e-7	-5.851043994546964
-3.0	1.7397264323438026e-7	-5.829943137944967
-3.0	1.80514887922111e-7	-5.808905971496849
-3.0	1.8730315385064384e-7	-5.7879191611324945
-3.0	1.943466926536022e-7	-5.766992781085924
-3.0	2.0165510387247484e-7	-5.746120504289556
-3.0	2.0923834803969792e-7	-5.7253077262354495
-3.0	2.171067602537267e-7	-5.704537821728866
-3.0	2.2527106426459827e-7	-5.683828041833041
-3.0	2.3374238708918172e-7	-5.663161069092735
-3.0	2.4253227417603555e-7	-5.6425520788771815
-3.0	2.516527051405394e-7	-5.621985971044907
-3.0	2.6111611009174624e-7	-5.60146258159279
-3.0	2.709353865732054e-7	-5.580997150262397
-3.0	2.811239171408461e-7	-5.560568558408741
-3.0	2.916955876018793e-7	-5.540179699052916
-3.0	3.026648059395689e-7	-5.519846837358147
-3.0	3.140465219496749e-7	-5.49954494777763
-3.0	3.258562476153223e-7	-5.479291309170485
-3.0	3.381100782480682e-7	-5.459077132783542
-3.0	3.5082471442397886e-7	-5.438905369611484
-3.0	3.640174847446138e-7	-5.41876658241058
-3.0	3.7770636945393647e-7	-5.398673387405776
-3.0	3.919100249433402e-7	-5.378611066363194
-3.0	4.066478091781854e-7	-5.358591575155302
-3.0	4.219398080805024e-7	-5.338603154749418
-3.0	4.3780686290381663e-7	-5.318658682519216
-3.0	4.5427059863740426e-7	-5.298741355683438
-3.0	4.713534534786907e-7	-5.278864207950335
-3.0	4.890787094139589e-7	-5.259014547038767
-3.0	5.074705239490465e-7	-5.239200676187889
-3.0	5.265539630332755e-7	-5.219422241850851
-3.0	5.463550352214876e-7	-5.199727168548546
-3.0	5.669007271207434e-7	-5.179957698036431
-3.0	5.882190401699956e-7	-5.160277538526591
-3.0	6.103390288028621e-7	-5.140618257714589
-3.0	6.332908400455115e-7	-5.120992777890768
-3.0	6.571057546036271e-7	-5.101396913857585
-3.0	6.818162294944479e-7	-5.081834277797288
-3.0	7.074559422819878e-7	-5.0623660845378495
-3.0	7.340598369757212e-7	-5.042789235508662
-3.0	7.616641716552891e-7	-5.023307059683551
-3.0	7.903065678861348e-7	-5.003849585948947
-3.0	8.20026061993413e-7	-4.984422714764145
-3.0	8.508631582640581e-7	-4.9650197803333755
-3.0	8.82859884149515e-7	-4.945647181375842
-3.0	9.16059847544371e-7	-4.926292542852257
-3.0	9.505082962189512e-7	-4.9069711146190365
-3.0	9.862521794868784e-7	-4.88767202326733
-3.0	1.0233402121916422e-6	-4.868396273966645
-3.0	1.0618229410993845e-6	-4.849142773948918
-3.0	1.1017528137883874e-6	-4.829915859917055
-3.0	1.1431842501291502e-6	-4.810709151966984
-3.0	1.1861737164524792e-6	-4.791528964733305
-3.0	1.2307798025066658e-6	-4.772370498376228
-3.0	1.2770633013086448e-6	-4.75323542252965
-3.0	1.3250872919979539e-6	-4.734118944206024
-3.0	1.3749172258064205e-6	-4.715029253511419
-3.0	1.4266210152607383e-6	-4.695956633713066
-3.0	1.4802691267395102e-6	-4.676907065846885
-3.0	1.5359346765108985e-6	-4.657873432438407
-3.0	1.593693530381776e-6	-4.638863844168806
-3.0	1.653624407094182e-6	-4.6198803487064675
-3.0	1.7158089856100065e-6	-4.601024644594908
-3.0	1.7803320164301157e-6	-4.581960397100622
-3.0	1.847281437099636e-6	-4.563033607977127
-3.0	1.916748492056817e-6	-4.544123562155604
-3.0	1.9888278569888116e-6	-4.5252339254832155
-3.0	2.0636177678638607e-6	-4.506362121665607
-3.0	2.1412201548157317e-6	-4.487505982851513
-3.0	2.2217407810628823e-6	-4.468668847042394
-3.0	2.305289387051706e-6	-4.449850656841721
-3.0	2.391979840020237e-6	-4.431050489233035
-3.0	2.4819302891862528e-6	-4.4122666238639985
-3.0	2.575263326771199e-6	-4.393500485605424
-3.0	2.6721061550794324e-6	-4.374754459922618
-3.0	2.7725907598604813e-6	-4.356023715558372
-3.0	2.8768540901905914e-6	-4.3373101818770365
-3.0	2.9850382451187294e-6	-4.3186137965430715
-3.0	3.097290667331407e-6	-4.299932529034067
-3.0	3.2137643441002754e-6	-4.281264366952695
-3.0	3.3346180157863626e-6	-4.262613564850141
-3.0	3.460016392185109e-6	-4.243992913473888
-3.0	3.5901303770070686e-6	-4.2253626791133705
-3.0	3.7251373008002097e-6	-4.206757349831369
-3.0	3.865221162631262e-6	-4.188172370789587
-3.0	4.010572880855496e-6	-4.169595965281832
-3.0	4.161390553316707e-6	-4.15103939521245
-3.0	4.317879727332021e-6	-4.1324927548331045
-3.0	4.4802536798294895e-6	-4.113962562937902
-3.0	4.648733708020257e-6	-4.095450843218595
-3.0	4.823549431001467e-6	-4.0769491279706855
